Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Decatur Memorial Hospital,Radiology - Radiation Oncology,"$1,971","$17,016",13,,Memorial Health (FKA Memorial Health System),,1225
Advocate Trinity Hospital,Radiology - Bone/Joint Studies,"$1,970","$17,480",19,19,Advocate Health Care,Advocate Health,1156
Froedtert Hospital,Medicine - Neurology and Neuromuscular Procedures,"$1,970","$13,941",,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc,4529
University of Cincinnati Medical Center (FKA University Hospital),Surgery - Hemic and Lymphatic Systems,"$1,969","$2,478",,,UC Health (AKA University of Cincinnati Health),,3158
OSF St Joseph Medical Center,Path. and Lab. - Microbiology,"$1,965","$25,138",79,,OSF HealthCare,,1223
IU Health Arnett Hospital,Medicine - Cardiovascular,"$1,964","$13,742",,,Indiana University Health (AKA IU Health),,1389
RML Specialty Hospital Hinsdale,Path. and Lab. - Chemistry,"$1,964","$18,298",236,,Advocate Health Care,Advocate Health,6119
Baylor Scott & White Medical Center - Hillcrest (FKA Hillcrest Baptist Medical Center),Eval. and Mgmt. - Critical Care Services,"$1,963","$4,726",,,Baylor Scott & White Health,,4083
Aurora Medical Center - Burlington (FKA Aurora Memorial Hospital of Burlington),Eval. and Mgmt. - Emergency Department Services,"$1,963","$7,075",,,Aurora Health Care,Advocate Health,4558
Saint Francis Hospital (FKA Ascension Saint Francis),Path. and Lab. - Microbiology,"$1,960","$17,020",55,27,Prime Healthcare Services,Prime Healthcare Services,1164
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Path. and Lab. - Proprietary Laboratory Analyses,"$1,960","$13,125",27,22,OSF HealthCare,,1213
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),Radiology - Diagnostic Ultrasound,"$1,959","$33,975",31,21,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1276
Morris Hospital & Healthcare Centers,Radiology - Diagnostic Ultrasound,"$1,955","$69,653",39,31,,,1183
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Radiology - Nuclear Medicine,"$1,955","$17,482",,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1382
Baylor Scott & White Institute for Rehabilitation - Dallas,Medicine - Physical Medicine and Rehabilitation,"$1,955","$11,081",98,,Baylor Scott & White Health,,5175
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Radiology - Bone/Joint Studies,"$1,954","$16,353",19,19,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
OSF St Mary Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,950","$9,248",,,OSF HealthCare,,1203
Advocate Sherman Hospital,Radiology - Diagnostic Ultrasound,"$1,950","$31,620",32,26,Advocate Health Care,Advocate Health,1199
Johns Hopkins Bayview Medical Center,Drugs Not Administered Orally,"$1,949","$2,894",,,Johns Hopkins Medicine,,1918
Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),Eval. and Mgmt. - Emergency Department Services,"$1,947","$2,804",,,Corewell Health East (FKA Beaumont Health System),Corewell Health (FKA BHSH System),2112
DMC Sinai-Grace Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,947","$4,322",,,Detroit Medical Center (AKA VHS of Michigan),Tenet Healthcare,2113
Stanford Hospital - 300 Pasteur Dr,Surgery - Digestive System,"$1,947","$18,274",,,Stanford Health Care,Stanford Medicine,588
Bronson South Haven Hospital (FKA South Haven Community Hospital),Radiology - Diagnostic Imaging,"$1,947","$27,309",21,12,Bronson Healthcare,,2094
Javon Bea Hospital - Riverside,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,945","$10,224",21,,Mercyhealth (FKA Mercy Health System),,856410
Deaconess Midtown Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,944","$3,161",,,Deaconess Health System,Deaconess Health System,1394
Bronson Methodist Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,943","$8,707",,,Bronson Healthcare,,2031
Hammond Henry Hospital,Path. and Lab. - Chemistry,"$1,943","$6,007",33,,,,1187
Saint Mary Hospital - Kankakee (FKA Ascension St Mary Kankakee),Radiology - Diagnostic Ultrasound,"$1,941","$39,487",28,18,Prime Healthcare Services,Prime Healthcare Services,1200
Methodist Hospitals - Northlake,Medicine - Physical Medicine and Rehabilitation,"$1,940","$16,788",61,,Methodist Hospitals,,1345
St Catherine Hospital,Path. and Lab. - Transfusion Medicine,"$1,938","$57,507",312,18,Powers Health (FKA Community Healthcare System),,1346
Upstate University Hospital (FKA Upstate University Hospital - Downtown Campus),Temporary Procedures & Professional Services,"$1,937","$13,049",20,,SUNY Upstate Medical University,SUNY Health (FKA SUNY Health Sciences Centers),2860
Mayo Clinic Hospital - Saint Marys Campus,Medicine - Gastroenterology,"$1,936","$16,463",11,,Mayo Clinic,Mayo Clinic,2191
Mount Sinai South Nassau (FKA South Nassau Communities Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,935","$26,523",,,Mount Sinai Health System (FKA Mount Sinai Medical Center),,2827
West Boca Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,934","$32,769",,,Palm Beach Health Network (FKA Tenet Florida),Tenet Healthcare,882
UnityPoint Health St Lukes Hospital,Surgery - Musculoskeletal System,"$1,933","$14,995",11,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System),1468
Heritage Valley Sewickley,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,930","$5,543",19,,Heritage Valley Health System,,3447
Mercy Medical Center (FKA Ascension Mercy),"Medicine - Vaccines, Toxoids","$1,929","$31,067",32,31,Prime Healthcare Services,Prime Healthcare Services,1195
UChicago Medicine Ingalls Memorial Hospital,Temporary Procedures & Professional Services,"$1,926","$54,912",60,39,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1118
Moffitt Cancer Center Magnolia Campus (AKA H Lee Moffitt Cancer Center & Research Institute),Radiology - Diagnostic Imaging,"$1,926","$71,736",13,,Moffitt Cancer Center,,818
Door County Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,925","$14,263",21,,Hospital Sisters Health System (AKA HSHS),,4499
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),Path. and Lab. - Microbiology,"$1,920","$29,719",85,41,Prime Healthcare Services,Prime Healthcare Services,1275
Mercyhealth Hospital and Trauma Center - Janesville,Surgery - Musculoskeletal System,"$1,919","$2,910",,,Mercyhealth (FKA Mercy Health System),,4561
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),Radiology - Bone/Joint Studies,"$1,917","$5,978",18,18,OSF HealthCare,,1122
Resurrection Medical Center (FKA Ascension Resurrection),Path. and Lab. - Hematology and Coagulation,"$1,916","$117,002",528,141,Prime Healthcare Services,Prime Healthcare Services,1147
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Path. and Lab. - Coronavirus Diagnostic Panel,"$1,911","$8,316",42,36,Prime Healthcare Services,Prime Healthcare Services,1123
Barnes-Jewish Hospital,Path. and Lab. - Immunology,"$1,910","$13,090",14,,BJC HealthCare,BJC HealthCare,2442
Fairview Range (AKA Fairview Range Medical Center),Surgery - Cardiovascular System,"$1,907","$5,360",48,,M Health Fairview (FKA Fairview Health Services),M Health Fairview (FKA Fairview Health Services),2216
Gundersen Lutheran Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,906","$6,843",,,Gundersen Health System,Emplify Health (AKA Bellin Health and Gundersen Health System),4519
CGH Medical Center,Temporary Hospital Outpatient Prospective Payment System,"$1,905","$25,155",27,,,,1274
MercyOne Genesis Silvis Medical Center (FKA Genesis Medical Center - Silvis),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental","$1,904","$6,328",,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health),1252
OSF HealthCare Saint Clare Medical Center (FKA Perry Memorial Hospital),Path. and Lab. - Hematology and Coagulation,"$1,903","$6,756",48,19,OSF HealthCare,,1110
SIH Herrin Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,902","$9,072",,,Southern Illinois Healthcare,,1279
HonorHealth Scottsdale Thompson Peak Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,901","$20,060",,,HonorHealth (FKA Scottsdale Lincoln Health Network),HonorHealth (FKA Scottsdale Lincoln Health Network),190
Iroquois Memorial Hospital,Surgery - Digestive System,"$1,900","$13,116",,,,,1188
Elmhurst Hospital,Path. and Lab. - Molecular Pathology,"$1,895","$30,341",20,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
University Medical Center (AKA UMC),Eval. and Mgmt. - Emergency Department Services,"$1,892","$3,785",,,UMC Health System,,4080
South Texas Health System Edinburg (FKA Edinburg Regional Medical Center),Eval. and Mgmt. - Emergency Department Services,"$1,892","$8,624",,,South Texas Health System,Universal Health Services,4036
Eisenhower Health (AKA Eisenhower Medical Center),Radiology - Diagnostic Imaging,"$1,888","$56,599",38,14,,,497
Vernon Memorial Hospital,Temporary Hospital Outpatient Prospective Payment System,"$1,886","$12,029",,,,,4579
MountainView Hospital,Radiology - Diagnostic Imaging,"$1,886","$34,443",,,HCA Far West Division - Sunrise Health,HCA Healthcare (FKA Hospital Corporation of America),2591
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),Radiology - Diagnostic Ultrasound,"$1,884","$49,713",32,24,Prime Healthcare Services,Prime Healthcare Services,1275
Edgerton Hospital and Health Services,Radiology - Diagnostic Imaging,"$1,883","$8,733",,,,,4560
Ascension Columbia St Marys Hospital Milwaukee,Surgery - Digestive System,"$1,880","$13,623",,,Ascension Wisconsin (FKA Ascension Wheaton Franciscan Healthcare),Ascension Health,4538
Iroquois Memorial Hospital,Surgery - Urinary System,"$1,876","$11,618",,,,,1188
Mayo Clinic Hospital - Saint Marys Campus,Radiology - Bone/Joint Studies,"$1,876","$9,518",20,13,Mayo Clinic,Mayo Clinic,2191
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Pathology and Laboratory,"$1,875","$12,920",,,Franciscan Alliance Inc (AKA Franciscan Health),,1348
UChicago Medicine Ingalls Memorial Hospital,Path. and Lab. - Hematology and Coagulation,"$1,874","$127,214",690,247,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1118
Carle Health Proctor Hospital (FKA UnityPoint Health - Proctor),Eval. and Mgmt. - Emergency Department Services,"$1,874","$12,306",,,Carle Health System,,1243
Goshen Health Hospital,Radiology - Diagnostic Imaging,"$1,870","$32,386",14,,,,1308
Cherokee Medical Center (FKA Mary Black Health System - Gaffney),Eval. and Mgmt. - Emergency Department Services,"$1,868","$2,244",,,Spartanburg Regional Healthcare System,Spartanburg Regional Healthcare System,3624
Memorial Hospital Belleville,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,863","$10,878",15,,BJC HealthCare,BJC HealthCare,1254
Advocate Good Shepherd Hospital,Radiology - Bone/Joint Studies,"$1,860","$12,510",18,18,Advocate Health Care,Advocate Health,1210
Blessing Hospital,Temporary Procedures & Professional Services,"$1,858","$10,005",15,,Blessing Health System,,1107
Cabell Huntington Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,858",$687,,,Marshall Health Network (FKA Mountain Health Network),Marshall Health Network (FKA Mountain Health Network),4423
Cook Hospital,Path. and Lab. - Hematology and Coagulation,"$1,858","$3,791",27,,,,2218
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Path. and Lab. - Chemistry,"$1,857","$83,076",440,99,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
The University of Vermont Medical Center (FKA Fletcher Allen Health Care Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,853","$11,586",,,University of Vermont Health (FKA Fletcher Allen Partners),,4246
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),Radiology - Diagnostic Ultrasound,"$1,852","$28,322",26,20,Franciscan Alliance Inc (AKA Franciscan Health),,1338
Northwest Health - Starke (FKA Starke Hospital),Radiology - Diagnostic Imaging,"$1,852","$35,972",17,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS),1386
Sylvester Comprehensive Cancer Center,Temporary Procedures & Professional Services,"$1,851","$8,186",31,11,University of Miami Health System (AKA UHealth),,851
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Path. and Lab. - Chemistry,"$1,849","$19,975",227,48,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1995
Thorek Memorial Hospital,Surgery - Integumentary System,"$1,845","$8,838",16,,Thorek Memorial Hospital Health System,,1146
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),Pathology and Laboratory,"$1,843","$7,000",12,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1276
Northwest Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,841","$19,395",,,Northwest Healthcare,Community Health Systems (AKA CHS),204
Bergen New Bridge Medical Center (FKA Bergen Regional Medical Center),Eval. and Mgmt. - Emergency Department Services,"$1,838","$7,596",,,,,2643
Advocate Condell Medical Center,Radiology - Diagnostic Ultrasound,"$1,837","$31,695",34,26,Advocate Health Care,Advocate Health,1207
CGH Medical Center,Surgery - Musculoskeletal System,"$1,833","$6,596",11,,,,1274
SSM Health St Marys Hospital - Madison,Eval. and Mgmt. - Emergency Department Services,"$1,831","$13,004",,,SSM Health in Wisconsin,SSM Health,4494
Morris Hospital & Healthcare Centers,Surgery - Integumentary System,"$1,830","$11,950",,,,,1183
HonorHealth Scottsdale Shea Medical Center,Medicine - Physical Medicine and Rehabilitation,"$1,823","$26,526",42,,HonorHealth (FKA Scottsdale Lincoln Health Network),HonorHealth (FKA Scottsdale Lincoln Health Network),171
Cedars-Sinai Medical Center,Radiology - Diagnostic Imaging,"$1,822","$130,220",18,,Cedars-Sinai Health System,Cedars-Sinai Health System,430
Presbyterian Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,822","$6,072",,,Presbyterian Healthcare Services,,2708
Mercyhealth Hospital and Medical Center - Walworth,Path. and Lab. - Hematology and Coagulation,"$1,821","$6,061",47,16,Mercyhealth (FKA Mercy Health System),,4581
AdventHealth New Smyrna Beach (FKA Florida Hospital New Smyrna),Medicine - Physical Medicine and Rehabilitation,"$1,815","$16,415",54,,AdventHealth East Florida Division,AdventHealth (FKA Adventist Health System),930
William P Clements Jr University Hospital (FKA UT Southwestern University Hospital - St Paul),Surgery - Nervous System,"$1,814","$9,584",,,University of Texas Southwestern Medical Center (AKA UT Southwestern),University of Texas System,3923
Ochsner Medical Center - Main Campus,Eval. and Mgmt. - Emergency Department Services,"$1,813","$2,119",,,Ochsner Health System,Ochsner Health System,1772
City of Hope National Medical Center,Temporary Procedures & Professional Services,"$1,813","$8,140",13,,City of Hope,,370
Jupiter Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,813","$12,753",,,,,887
Mercyhealth Hospital and Medical Center - Walworth,Surgery - Integumentary System,"$1,810","$8,856",60,12,Mercyhealth (FKA Mercy Health System),,4581
Physicians Regional Medical Center - Pine Ridge,Surgery - Digestive System,"$1,810","$13,258",,,Physicians Regional Healthcare System,Community Health Systems (AKA CHS),787
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Path. and Lab. - Cytogenetic Studies,"$1,810","$117,082",40,14,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Freeman Hospital West,Temporary Procedures & Professional Services,"$1,807","$7,345",27,,Freeman Health System,,2387
Advocate Sherman Hospital,Path. and Lab. - Proprietary Laboratory Analyses,"$1,806","$11,575",32,28,Advocate Health Care,Advocate Health,1199
Barnes-Jewish Hospital,Surgery - Digestive System,"$1,806","$5,489",,,BJC HealthCare,BJC HealthCare,2442
IU Health Bloomington Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,797","$18,126",,,Indiana University Health (AKA IU Health),,1370
SSM Health St Clare Hospital - Baraboo,Eval. and Mgmt. - Emergency Department Services,"$1,794","$7,395",,,SSM Health in Wisconsin,SSM Health,4569
Holy Cross Health (AKA Holy Cross Hospital),Drugs Not Administered Orally,"$1,793","$15,856",14,,Trinity Health (FKA CHE Trinity Health),Trinity Health (FKA CHE Trinity Health),773
Palm Beach Gardens Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,787","$5,523",,,Palm Beach Health Network (FKA Tenet Florida),Tenet Healthcare,886
St Mary Medical Center,Path. and Lab. - Hematology and Coagulation,"$1,787","$65,945",662,203,Powers Health (FKA Community Healthcare System),,1344
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Temporary Hospital Outpatient Prospective Payment System,"$1,784","$153,068",34,17,Franciscan Alliance Inc (AKA Franciscan Health),,1348
Cedars-Sinai Medical Center,Pathology and Laboratory,"$1,782","$12,271",,,Cedars-Sinai Health System,Cedars-Sinai Health System,430
Bronson LakeView Hospital,Surgery - Musculoskeletal System,"$1,780","$18,473",,,Bronson Healthcare,,2093
Alta Bates Summit Medical Center - Alta Bates Campus,Surgery - Musculoskeletal System,"$1,778","$1,529",,,Sutter Health,Sutter Health,301
Carle Eureka Hospital (FKA Advocate Eureka Hospital),Medicine - Neurology and Neuromuscular Procedures,"$1,778","$6,479",,,Carle Health System,,1284
Stanford Hospital - 300 Pasteur Dr,Medicine - Neurology and Neuromuscular Procedures,"$1,774","$16,896",,,Stanford Health Care,Stanford Medicine,588
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),Medicine - Pulmonary,"$1,774","$22,800",59,32,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1162
Cedars-Sinai Medical Center,Temporary Procedures & Professional Services,"$1,771","$46,355",18,,Cedars-Sinai Health System,Cedars-Sinai Health System,430
Advocate Illinois Masonic Medical Center,Path. and Lab. - Chemistry,"$1,770","$246,320","1,517",271,Advocate Health Care,Advocate Health,1125
AdventHealth Hendersonville (FKA Park Ridge Health),Medicine - Psychiatry,"$1,768","$3,111",17,,AdventHealth Multi-State Division,AdventHealth (FKA Adventist Health System),2988
Advocate Lutheran General Hospital,Pathology and Laboratory,"$1,768","$13,741",11,,Advocate Health Care,Advocate Health,1128
Cleveland Clinic Main Campus,Medicine - Noninvasive Vascular Diagnostic Studies,"$1,768","$14,590",15,,Cleveland Clinic Health System,Cleveland Clinic Health System,3120
Northwestern Medicine Central DuPage Hospital,Medicine - Ophthalmology,"$1,768","$5,791",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
CHI St Vincent Hot Springs (FKA Mercy Hospital Hot Springs),Eval. and Mgmt. - Emergency Department Services,"$1,767","$9,293",,,CHI St Vincent (FKA St Vincent Health System),CommonSpirit Health,249
Sunrise Hospital & Medical Center,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,767","$46,147",27,,HCA Far West Division - Sunrise Health,HCA Healthcare (FKA Hospital Corporation of America),2586
Cook Hospital,Path. and Lab. - Transfusion Medicine,"$1,764","$4,376",18,,,,2218
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),Path. and Lab. - Chemistry,"$1,764","$128,508",415,107,Prime Healthcare Services,Prime Healthcare Services,1275
Hopedale Medical Complex,Path. and Lab. - Organ or Disease-Oriented Panels,"$1,763","$7,398",42,11,,,1265
Gibson Area Hospital and Health Services,Surgery - Musculoskeletal System,"$1,758","$53,461",,,,,1180
Atrium Health Wake Forest Baptist Medical Center (FKA Wake Forest Baptist Medical Center),Surgery - Nervous System,"$1,758","$5,630",,,Atrium Health Wake Forest Baptist (FKA Wake Forest Baptist Health),Advocate Health,2976
MercyOne Genesis Silvis Medical Center (FKA Genesis Medical Center - Silvis),Medicine - Physical Medicine and Rehabilitation,"$1,758","$30,021",55,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health),1252
St Joseph Medical Center,Medicine - Physical Medicine and Rehabilitation,"$1,756","$18,026",35,,Virginia Mason Franciscan Health (FKA CHI Franciscan Health),CommonSpirit Health,4392
SIH Memorial Hospital of Carbondale,Eval. and Mgmt. - Emergency Department Services,"$1,755","$8,719",,,Southern Illinois Healthcare,,1189
Wellstar Paulding Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,752","$11,511",,,Wellstar Health System,Wellstar Health System,1040
Wellstar Douglas Medical Center (AKA Wellstar Douglas Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,752","$11,511",,,Wellstar Health System,Wellstar Health System,983
Vista Medical Center East (AKA Vista Health System),Surgery - Eye and Ocular Adnexa,"$1,752","$19,461",,,American Healthcare Systems,,1204
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Medicine - COVID-19 Vaccines/Toxoids,"$1,752","$9,478",52,46,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),Path. and Lab. - Surgical Pathology,"$1,749","$203,286",143,48,Prime Healthcare Services,Prime Healthcare Services,1275
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),Path. and Lab. - Organ or Disease-Oriented Panels,"$1,747","$76,512",205,85,Franciscan Alliance Inc (AKA Franciscan Health),,1342
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),Radiology - Diagnostic Ultrasound,"$1,747","$45,456",33,28,Ascension Health Illinois,Ascension Health,1137
Northwestern Medicine Palos Hospital (AKA Palos Health),Radiology - Bone/Joint Studies,"$1,747","$16,085",17,17,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1160
Mercyhealth Hospital and Medical Center - Harvard,Surgery - Eye and Ocular Adnexa,"$1,746","$11,526",,,Mercyhealth (FKA Mercy Health System),,1221
SSM Health St Marys Hospital - Janesville,Surgery - Eye and Ocular Adnexa,"$1,746","$5,410",,,SSM Health in Wisconsin,SSM Health,542022
Bethesda Hospital East (FKA Bethesda Memorial Hospital),Surgery - Integumentary System,"$1,746","$9,640",,,Baptist Health South Florida,Baptist Health South Florida,889
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Radiology - Radiation Oncology,"$1,743","$10,524",,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1995
Northwestern Medicine Lake Forest Hospital,Path. and Lab. - Microbiology,"$1,741","$77,564",253,59,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1208
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),Path. and Lab. - Immunology,"$1,740","$15,370",91,28,Ascension Health Illinois,Ascension Health,1129
Vanderbilt University Medical Center,Surgery - Digestive System,"$1,740","$10,286",,,Vanderbilt Health (FKA Vanderbilt University Medical Center System),,3742
Elkhart General Hospital,Radiology - Diagnostic Imaging,"$1,740","$44,984",26,14,Beacon Health System,,1307
Northwestern Medicine Palos Hospital (AKA Palos Health),Surgery - Nervous System,"$1,734","$18,064",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1160
IU Health Methodist Hospital,Radiology - Diagnostic Imaging,"$1,734","$14,963",17,,Indiana University Health (AKA IU Health),,1365
Iroquois Memorial Hospital,Eval. and Mgmt. - Critical Care Services,"$1,731","$16,054",,,,,1188
Evanston Hospital (AKA NorthShore Evanston Hospital),Path. and Lab. - Surgical Pathology,"$1,729","$286,860",367,195,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
NCH Baker Hospital (FKA NCH Downtown Naples Hospital Campus),"Medicine - Injections, Infusions, and Complex Agent Administration","$1,729","$15,894",21,,NCH (AKA Naples Comprehensive Health),,7159
Jackson Park Hospital & Medical Center,Surgery - Eye and Ocular Adnexa,"$1,729","$3,618",,,,,1121
Advocate Illinois Masonic Medical Center,Surgery - Male Genital System,"$1,728","$22,580",,,Advocate Health Care,Advocate Health,1125
Jackson Park Hospital & Medical Center,Medicine - Cardiovascular,"$1,728","$18,342",37,23,,,1121
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),Path. and Lab. - Microbiology,"$1,726","$34,517",112,38,Franciscan Alliance Inc (AKA Franciscan Health),,1341
Mercyhealth Hospital and Medical Center - Harvard,Eval. and Mgmt. - Emergency Department Services,"$1,725","$13,269",12,,Mercyhealth (FKA Mercy Health System),,1221
The University of Tennessee Medical Center,Surgery - Integumentary System,"$1,722","$7,958",,,,,3784
Holy Cross Health (AKA Holy Cross Hospital),Radiology - Diagnostic Imaging,"$1,722","$48,045",17,,Trinity Health (FKA CHE Trinity Health),Trinity Health (FKA CHE Trinity Health),773
Gibson Area Hospital and Health Services,Path. and Lab. - Microbiology,"$1,721","$8,053",37,,,,1180
Advocate Christ Medical Center,Path. and Lab. - Microbiology,"$1,718","$51,684",261,78,Advocate Health Care,Advocate Health,1127
Javon Bea Hospital - Riverside,Surgery - Eye and Ocular Adnexa,"$1,716","$5,487",,,Mercyhealth (FKA Mercy Health System),,856410
Iroquois Memorial Hospital,Surgery - Musculoskeletal System,"$1,715","$15,592",,,,,1188
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),Medicine - Physical Medicine and Rehabilitation,"$1,714","$24,765",42,,OSF HealthCare,,1216
SIH Herrin Hospital,Temporary Procedures & Professional Services,"$1,710","$15,892",,,Southern Illinois Healthcare,,1279
AdventHealth Zephyrhills (FKA Florida Hospital Zephyrhills),Eval. and Mgmt. - Emergency Department Services,"$1,710","$17,129",,,AdventHealth West Florida Division,AdventHealth (FKA Adventist Health System),891
IU Health Ball Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,707","$18,581",,,Indiana University Health (AKA IU Health),,1305
Aspen Valley Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,705","$6,613",,,,,697
Cox Medical Center South,Eval. and Mgmt. - Emergency Department Services,"$1,701","$11,955",,,CoxHealth,CoxHealth,2369
Cleveland Clinic Florida - Weston (AKA Weston Hospital),Temporary Procedures & Professional Services,"$1,700","$4,713",20,12,Cleveland Clinic Florida (FKA Cleveland Clinic Martin Health),Cleveland Clinic Health System,776
Resurrection Medical Center (FKA Ascension Resurrection),Medicine - Neurology and Neuromuscular Procedures,"$1,691","$13,091",,,Prime Healthcare Services,Prime Healthcare Services,1147
Mayo Clinic Hospital - Florida,Surgery - Eye and Ocular Adnexa,"$1,682","$6,297",,,Mayo Clinic,Mayo Clinic,792
Franciscan Health Rensselaer (FKA Jasper County Hospital),Radiology - Diagnostic Imaging,"$1,681","$17,154",15,,Franciscan Alliance Inc (AKA Franciscan Health),,1329
Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,678","$23,846",,,Abrazo Health,Tenet Healthcare,170
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),Path. and Lab. - Proprietary Laboratory Analyses,"$1,677","$10,600",23,23,OSF HealthCare,,1122
Loyola University Medical Center,Path. and Lab. - Proprietary Laboratory Analyses,"$1,677","$5,600",22,14,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
University of Illinois Hospital,Medicine - Special Dermatological Procedures,"$1,676","$19,105",65,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
