Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
OSF Holy Family Medical Center,"Medicine - Injections, Infusions, and Complex Agent Administration",$0,"$3,264",,,OSF HealthCare,,1272
CGH Medical Center,Anesthesia - Moderate (Conscious) Sedation,$0,"$1,760",,,,,1274
CGH Medical Center,Path. and Lab. - Definitive Drug Testing,$0,$194,,,,,1274
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$1,050",,,Mercyhealth (FKA Mercy Health System),,1263
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),Path. and Lab. - Transfusion Medicine,$0,$439,,,Mercyhealth (FKA Mercy Health System),,1263
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$115,,,Mercyhealth (FKA Mercy Health System),,1263
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),"Medicine - Vaccines, Toxoids",$0,$814,,,Mercyhealth (FKA Mercy Health System),,1263
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Surgical Pathology,$0,"$1,658",,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Hematology and Coagulation,$0,"$1,710",11,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Drugs Not Administered Orally,$0,"$1,444",22,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Chemistry,$0,"$4,305",18,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Medicine - Cardiovascular,$0,"$3,395",,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Urinalysis,$0,$174,,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Surgery - Cardiovascular System,$0,$420,11,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Temporary Procedures & Professional Services,$0,$0,,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Temporary Hospital Outpatient Prospective Payment System,$0,$682,,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Therapeutic Drug Assays,$0,$503,,,Carle Health System,,1264
Carle Health Pekin Hospital (FKA Pekin Hospital),Path. and Lab. - Organ or Disease-Oriented Panels,$0,"$2,905",,,Carle Health System,,1264
HSHS St Elizabeths Hospital,Medicine - Cardiovascular,$0,$469,,,Hospital Sisters Health System (AKA HSHS),,1255
HSHS St Elizabeths Hospital,Path. and Lab. - Urinalysis,$0,$87,,,Hospital Sisters Health System (AKA HSHS),,1255
HSHS St Elizabeths Hospital,Path. and Lab. - Chemistry,$0,$426,,,Hospital Sisters Health System (AKA HSHS),,1255
HSHS St Elizabeths Hospital,Temporary Procedures & Professional Services,$0,$0,,,Hospital Sisters Health System (AKA HSHS),,1255
Touchette Regional Hospital,Path. and Lab. - Definitive Drug Testing,$0,$129,,,Southern Illinois Health Care Foundation,Southern Illinois Health Care Foundation,1256
SIH Harrisburg Medical Center,Medicine - Pulmonary,$0,$562,,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,Temporary Codes,$0,"$1,495",,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,Path. and Lab. - Urinalysis,$0,$65,,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,Temporary Hospital Outpatient Prospective Payment System,$0,"$3,980",,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,Medicine - Cardiovascular,$0,"$3,954",,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,Path. and Lab. - Transfusion Medicine,$0,"$2,604",16,,Southern Illinois Healthcare,,1257
SIH Harrisburg Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$254,,,Southern Illinois Healthcare,,1257
HSHS St Johns Hospital,Radiology - Bone/Joint Studies,$0,"$1,001",,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Path. and Lab. - Microbiology,$0,"$3,728",,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$1,866",15,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Radiology - Nuclear Medicine,$0,"$5,802",,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Path. and Lab. - Urinalysis,$0,$420,,,Hospital Sisters Health System (AKA HSHS),,1259
