Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Northwestern Memorial Hospital,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$279,284","$1,026,948",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$169,568","$1,024,484",19,19,Prime Healthcare Services,Prime Healthcare Services
Northwestern Memorial Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$248,888","$1,023,234",20,14,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Loyola University Medical Center,"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$400,725","$1,016,806",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$204,397","$1,009,896",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Mercy Medical Center (FKA Ascension Mercy),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$128,315","$1,002,724",12,12,Prime Healthcare Services,Prime Healthcare Services
Northwest Health - Porter (AKA Porter Regional Hospital),"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$85,703","$1,002,342",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS  (870),"$111,863","$990,554",,,Ascension Health Illinois,Ascension Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$154,815","$987,240",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Good Shepherd Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$183,242","$984,575",16,14,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"KIDNEY TRANSPLANT WITH HEMODIALYSIS (650, 651)","$98,469","$977,072",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
RUSH Specialty Hospital,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$98,070","$976,041",,,Select Medical Corporation,Select Medical Corporation
Northwest Health - Porter (AKA Porter Regional Hospital),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$67,393","$975,633",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Northwestern Medicine Central DuPage Hospital,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)","$86,733","$967,348",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$131,475","$965,049",16,14,Prime Healthcare Services,Prime Healthcare Services
Advocate Condell Medical Center,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA  (955),"$118,951","$964,801",,,Advocate Health Care,Advocate Health
Elmhurst Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$100,563","$964,474",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$263,984","$959,743",11,,Sinai Chicago (FKA Sinai Health System),
Northwestern Memorial Hospital,"KIDNEY TRANSPLANT WITH HEMODIALYSIS (650, 651)","$117,266","$955,971",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Community Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$150,267","$955,843",12,11,Powers Health (FKA Community Healthcare System),
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$216,290","$946,334",17,16,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"HEART FAILURE & SHOCK  (291, 292, 293)","$232,218","$945,066",15,12,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Kindred Hospital Chicago - Northlake,"RENAL FAILURE  (682, 683, 684)","$64,464","$943,587",,,Kindred Hospitals,ScionHealth
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"RENAL FAILURE  (682, 683, 684)","$152,130","$933,269",,,Prime Healthcare Services,Prime Healthcare Services
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$275,893","$932,332",14,12,Prime Healthcare Services,Prime Healthcare Services
Northwestern Memorial Hospital,"MAJOR CHEST PROCEDURES  (163, 164, 165)","$162,832","$930,408",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Loyola University Medical Center,"KIDNEY TRANSPLANT WITH HEMODIALYSIS (650, 651)","$122,009","$924,734",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
UF Health Shands Hospital (FKA Shands at the University of Florida),"OTHER O.R. PROCEDURES FOR INJURIES  (907, 908, 909)","$181,910","$923,886",,,University of Florida Health (FKA Shands Healthcare),University of Florida Health (FKA Shands Healthcare)
Northwestern Medicine Central DuPage Hospital,"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$101,640","$923,513",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Cleveland Clinic Main Campus,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$183,125","$918,711",,,Cleveland Clinic Health System,Cleveland Clinic Health System
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$152,362","$917,305",12,,Franciscan Alliance Inc (AKA Franciscan Health),
Northwestern Memorial Hospital,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$109,575","$914,304",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Elmhurst Hospital,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$106,147","$903,877",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Edward Hospital (FKA Edward Heart Hospital),"PERMANENT CARDIAC PACEMAKER IMPLANT  (242, 243, 244)","$97,022","$901,821",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Lutheran General Hospital,ALLOGENEIC BONE MARROW TRANSPLANT  (014),"$147,735","$900,540",,,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC  (856, 857, 858)","$111,949","$895,624",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
MacNeal Hospital,PSYCHOSES  (885),"$232,828","$895,280",34,19,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Northwestern Memorial Hospital,"LIVER TRANSPLANT  (005, 006)","$117,861","$893,181",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$280,726","$888,481",,,Sinai Chicago (FKA Sinai Health System),
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$100,829","$886,495",,,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"OTHER VASCULAR PROCEDURES  (252, 253, 254)","$195,961","$879,766",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),PSYCHOSES  (885),"$205,912","$878,594",26,13,Ascension Health Illinois,Ascension Health
Northwestern Medicine Palos Hospital (AKA Palos Health),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$167,152","$878,573",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.  (003)","$277,843","$874,793",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$176,217","$872,776",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Lake Behavioral Hospital (FKA Vista Medical Center - West),PSYCHOSES  (885),"$280,322","$872,110",35,24,US HealthVest,
Advocate Christ Medical Center,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$156,018","$869,799",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$136,555","$865,825",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Morris Hospital & Healthcare Centers,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$165,187","$860,452",,,,
Elmhurst Hospital,OTHER HEART ASSIST SYSTEM IMPLANT  (215),"$109,110","$859,539",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Loyola University Medical Center,"TRAUMATIC STUPOR & COMA, COMA >1 HR  (082, 083, 084)","$195,245","$858,921",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
University of Illinois Hospital,"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$334,483","$857,227",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
City of Hope National Medical Center,ALLOGENEIC BONE MARROW TRANSPLANT  (014),"$136,498","$843,533",,,City of Hope,
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$139,194","$839,674",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Condell Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$125,615","$833,114",11,11,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"RENAL FAILURE  (682, 683, 684)","$140,410","$829,205",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Lake Forest Hospital,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$102,253","$828,549",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE (521, 522)","$79,516","$827,430",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$244,368","$826,255",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
University of Illinois Hospital,"LIVER TRANSPLANT  (005, 006)","$149,203","$823,117",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Kindred Hospital Chicago - Northlake,"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$65,834","$822,613",,,Kindred Hospitals,ScionHealth
Glendale Memorial Hospital and Health Center,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$146,100","$821,794",,,Dignity Health,CommonSpirit Health
Loyola University Medical Center,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$237,019","$820,296",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Evanston Hospital (AKA NorthShore Evanston Hospital),"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$174,203","$816,876",11,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$138,418","$815,585",11,,Prime Healthcare Services,Prime Healthcare Services
Elmhurst Hospital,"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$147,691","$812,546",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM  (094, 095, 096)","$198,438","$810,433",,,,
Evanston Hospital (AKA NorthShore Evanston Hospital),"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$133,220","$809,515",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Kindred - Chicago Central Hospital (Closed),"HEART FAILURE & SHOCK  (291, 292, 293)","$78,458","$808,043",,,Kindred Hospitals,ScionHealth
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"CARDIAC DEFIBRILLATOR IMPLANT (275,276,277)","$110,980","$807,669",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$189,467","$802,065",12,12,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
